@relation star_classification-weka.filters.unsupervised.attribute.NominalToBinary-R18-weka.filters.unsupervised.attribute.NominalToBinary-R18-weka.filters.unsupervised.attribute.NominalToBinary-N-R18-weka.filters.unsupervised.attribute.NominalToBinary-N-R18-weka.filters.unsupervised.attribute.NominalToBinary-N-R18-weka.filters.unsupervised.attribute.NominalToBinary-N-R18-weka.filters.unsupervised.attribute.NominalToBinary-N-R18-weka.filters.unsupervised.attribute.OrdinalToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-unset-class-temporarily

@attribute obj_ID numeric
@attribute alpha numeric
@attribute delta numeric
@attribute u numeric
@attribute g numeric
@attribute r numeric
@attribute i numeric
@attribute z numeric
@attribute run_ID numeric
@attribute rerun_ID numeric
@attribute cam_col numeric
@attribute field_ID numeric
@attribute spec_obj_ID numeric
@attribute redshift numeric
@attribute plate numeric
@attribute MJD numeric
@attribute fiber_ID numeric
@attribute class {GALAXY,QSO,STAR}

@data
0.351421,0.376928,0.533808,0.700962,0.70065,0.611484,0.604368,0.551747,0.351432,0,0.2,0.084158,0.448894,0.107768,0.448899,0.643923,0.168506,GALAXY
0.481447,0.402314,0.517838,0.777981,0.749559,0.804476,0.801801,0.795044,0.481402,0,0.8,0.133663,0.827998,0.132125,0.828001,0.893094,0.425276,GALAXY
0.351421,0.394987,0.574214,0.819584,0.734797,0.630413,0.622396,0.565079,0.351432,0,0.2,0.134901,0.34776,0.109354,0.347762,0.538674,0.296891,GALAXY
0.434952,0.941084,0.103333,0.551684,0.832572,0.718724,0.736373,0.591115,0.434944,0,0.4,0.251238,0.721959,0.157978,0.721954,0.876657,0.774323,GALAXY
0.99218,0.959259,0.385803,0.320342,0.28808,0.267927,0.289975,0.271485,0.992162,0,0.4,0.155941,0.474192,0.020244,0.474184,0.620856,0.841525,GALAXY
0.99218,0.947346,0.378025,0.667495,0.794013,0.693191,0.711882,0.61659,0.992162,0,0.4,0.122525,0.384591,0.241054,0.384584,0.575,0.740221,QSO
0.945276,0.064488,0.258015,0.494519,0.604071,0.658491,0.7466,0.692523,0.945276,0,0.2,0.558168,0.879051,0.099611,0.879061,0.934254,0.110331,QSO
0.945275,0.015028,0.266482,0.561365,0.678367,0.606746,0.636138,0.556602,0.945276,0,0.2,0.414604,0.479248,0.081142,0.479257,0.624033,0.012036,GALAXY
0.367151,0.556416,0.726226,0.745869,0.707802,0.630463,0.633866,0.565963,0.367108,0,0.8,0.12005,0.51543,0.112023,0.515424,0.648343,0.718154,GALAXY
0.683228,0.108705,0.47634,0.518252,0.50378,0.50399,0.570105,0.539715,0.683198,0,0.6,0.137376,0.173306,0.000647,0.173308,0.33011,0.229689,STAR
0.992179,0.911497,0.347024,0.863164,0.72219,0.632977,0.665004,0.574514,0.992162,0,0.4,0.019802,0.384095,0.078204,0.384093,0.574586,0.523571,GALAXY
0.397203,0.67782,0.445399,0.691432,0.834604,0.663329,0.667641,0.608857,0.397178,0,0.6,0.125,0.360127,0.100447,0.360118,0.552624,0.854564,GALAXY
